Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 3:54:15 PM

Exports by,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,Percentage,Sum total years,Percentage of total
United States,10664,12484,14083,13766,11483,11177,10839,14498,15708,11538,7662,5600,4882,5643,6839,6738,7533,7956,7150,7191,8389,9024,8956,7694,9490,9868,9465,11444,9576,10908,9532,11074,15592,11287,335732,38%,335732,38%
Russia,,,2639,3484,1533,3849,3610,3428,2062,4295,4492,5387,5840,5196,6290,5153,5135,5560,5993,5087,6240,8798,8275,7780,5335,5788,6706,6376,6901,5051,3523,2315,2603,1269,155994,18%,155994,18%
France,1825,1196,1247,974,861,960,1850,3187,3132,1758,1033,1383,1393,1362,2140,1663,1497,2154,1889,1854,884,2248,1326,1799,1768,2271,2141,2315,1879,3724,2387,3892,3268,2012,65270,7.5%,65270,7.5%
Germany,1835,2418,1526,1559,2920,1552,1961,957,1851,1878,1646,869,902,1652,1103,2088,2485,3296,2380,2208,2357,1204,729,729,1822,1812,2509,1841,1110,997,1161,857,1481,3287,58982,6.8%,58982,6.8%
United Kingdom,1837,1510,1093,1382,1513,1450,1608,2359,1400,1315,1623,1359,1076,769,1217,991,954,920,927,1073,1152,1007,817,1493,1658,1183,1324,1107,680,919,637,717,1665,1204,41939,4.8%,41939,4.8%
China,954,1321,670,1435,1083,1001,762,425,347,331,314,517,532,708,415,369,738,506,614,1136,1511,1263,1521,2061,1327,1814,2445,1625,1358,1593,700,1310,2083,2432,37218,4.3%,37218,4.3%
Italy,200,354,249,342,208,301,288,449,426,519,208,269,477,359,260,830,535,697,429,508,580,965,784,886,674,687,621,705,537,383,825,1650,1716,1437,20358,2.3%,20358,2.3%
Israel,82,165,358,416,337,206,335,273,227,166,401,458,548,401,616,510,429,609,375,801,660,548,462,417,400,570,1236,1193,1147,384,395,619,870,1159,17773,2.0%,17773,2.0%
Netherlands,416,455,383,458,628,458,484,616,639,355,281,199,233,331,202,504,1147,1219,452,504,366,541,871,384,643,469,484,1067,466,302,462,357,323,258,16954,1.9%,16954,1.9%
Soviet Union,9934,5524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15458,1.8%,15458,1.8%
Spain,117,105,71,104,254,89,113,634,174,46,47,8,18,99,54,113,898,628,626,984,273,997,266,450,962,982,481,820,705,308,981,619,970,940,14936,1.7%,14936,1.7%
Ukraine,,,165,82,237,166,232,556,706,736,274,554,310,313,196,294,529,639,399,443,517,567,1491,683,630,299,455,376,313,165,116,167,72,34,12714,1.5%,12714,1.5%
Sweden,224,155,147,103,111,226,348,104,337,387,360,897,164,516,298,539,387,330,454,409,661,698,477,386,345,193,257,81,154,215,279,329,66,299,10932,1.3%,10932,1.3%
Switzerland,468,497,452,235,176,146,195,126,214,282,186,221,178,198,279,266,310,308,484,238,260,326,235,194,337,482,217,175,243,218,159,113,185,93,8692,1.0%,8692,1.0%
South Korea,72,118,,60,7,27,24,25,32,,10,230,,96,74,109,158,278,110,224,177,328,203,350,220,94,437,702,1049,682,772,510,204,621,8002,0.9%,8002,0.9%
Canada,78,93,139,144,164,254,146,96,37,78,67,112,159,306,307,218,216,314,219,165,159,261,248,160,173,321,91,61,115,221,110,118,175,285,5810,0.7%,5810,0.7%
Turkiye,,,,,,3,3,0 ,3,44,20,5,27,43,28,25,67,85,120,76,70,90,144,139,157,225,244,179,249,276,265,487,535,609,4216,0.5%,4216,0.5%
Belarus,,,,8,,7,129,402,63,454,293,49,64,58,19,53,43,6,224,41,161,98,97,269,101,142,152,51,79,84,59,132,58,15,3410,0.4%,3410,0.4%
Poland,112,62,57,,133,179,57,23,1,65,47,81,56,83,47,18,282,163,73,75,28,8,31,147,33,2,5,10,26,10,0 ,3,419,499,2833,0.3%,2833,0.3%
Norway,85,167,79,41,46,17,4,13,3,3,2,34,82,94,61,6,17,58,108,141,159,146,167,153,138,182,104,121,59,31,67,114,72,222,2797,0.3%,2797,0.3%
South Africa,,54,75,54,13,17,31,7,22,28,20,37,22,47,74,36,199,137,141,107,243,74,193,111,63,67,82,96,82,101,115,97,58,31,2533,0.3%,2533,0.3%
Australia,168,90,,30,36,36,16,20,4,,,43,47,44,2,49,26,52,56,84,137,143,45,54,95,85,135,100,39,164,413,176,33,67,2487,0.3%,2487,0.3%
Czechia,,,,199,319,146,123,24,20,58,82,89,60,65,2,72,44,34,34,24,5,11,8,41,26,151,153,90,91,19,26,6,163,93,2275,0.3%,2275,0.3%
