Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 3:53:58 PM

Recipient,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,Percentage,Sum total years,Percentage of total
India,2832,1873,1187,735,872,1396,822,1665,797,1212,987,1169,2001,2738,2212,1194,1479,2276,1624,1937,2886,3613,4429,5242,3201,2724,2553,2656,2006,3147,2637,3959,2582,1428,74073,8.5%,74073,8.5%
Saudi Arabia,2039,1038,1153,2358,981,983,1724,2790,2886,1580,105,60,560,160,1159,166,205,227,387,827,1108,1172,930,1511,2711,3384,2974,3968,3170,3065,2399,1803,3132,1315,54031,6.2%,54031,6.2%
China,312,483,1196,1243,320,716,1511,949,382,1730,2491,2773,2838,2334,3236,3478,2842,1700,1822,1386,979,1071,1601,1261,1041,1252,1223,1550,2029,1341,779,686,717,471,49742,5.7%,49742,5.7%
South Korea,1214,921,795,1024,1029,1965,1984,1230,1417,1636,1399,774,520,754,1055,802,1659,1730,1691,798,1299,1568,1076,189,742,268,1038,962,1030,1605,1273,812,423,189,36867,4.2%,36867,4.2%
Turkiye,1241,1270,1879,2329,1891,1567,1491,1512,2627,1734,1182,506,893,331,257,1094,529,701,649,731,467,756,1481,769,1527,445,328,429,488,769,108,282,186,936,33382,3.8%,33382,3.8%
Egypt,563,887,973,1257,2020,1703,969,1050,482,520,834,829,717,631,648,809,695,660,326,95,689,653,308,719,430,1443,1641,2462,1630,1091,1360,1325,733,1130,32280,3.7%,32280,3.7%
Japan,2682,2940,2519,2130,1025,1251,867,839,1484,1252,488,423,433,457,390,374,463,553,990,990,658,300,239,342,329,356,346,446,764,992,932,1112,1569,1103,32036,3.7%,32036,3.7%
Pakistan,635,511,352,992,862,368,507,692,699,867,175,412,566,645,471,431,324,694,1073,1194,2226,1142,1021,1107,860,771,831,873,890,737,685,1035,1466,2129,28244,3.2%,28244,3.2%
UAE,561,237,201,578,565,420,480,686,753,435,244,183,221,676,1145,2072,1925,821,730,604,646,1239,1139,2283,738,1186,946,832,1128,862,574,530,452,902,26993,3.1%,26993,3.1%
Australia,352,213,364,448,262,64,597,35,542,678,326,1217,641,781,471,468,741,675,430,807,1558,1584,788,220,857,1470,1029,1664,1582,1184,1650,1215,827,362,26099,3.0%,26099,3.0%
Taiwan,475,659,477,1157,858,1318,1433,4746,3939,1736,592,342,291,115,319,695,503,13,11,36,71,173,411,582,1048,600,93,487,92,65,121,163,171,224,24016,2.8%,24016,2.8%
Greece,907,487,2146,892,1227,867,380,800,1718,837,713,788,402,2163,1098,406,719,1665,482,1228,630,70,19,28,204,728,302,51,39,93,101,241,443,391,23263,2.7%,23263,2.7%
United States,363,516,541,973,958,791,588,610,261,220,327,488,497,592,575,535,651,834,985,989,1051,984,1224,797,595,512,435,495,350,892,803,846,748,693,22719,2.6%,22719,2.6%
United Kingdom,120,940,1134,783,411,496,568,496,752,132,937,1282,720,769,215,31,375,837,570,399,502,390,595,509,217,423,282,1002,458,402,652,878,863,555,19696,2.3%,19696,2.3%
Algeria,733,1035,23,22,197,311,83,37,98,370,405,539,252,204,251,159,340,507,1510,1063,831,1133,662,361,716,896,2914,1136,1287,167,600,162,313,355,19672,2.3%,19672,2.3%
Israel,81,1210,1335,716,761,366,108,59,1289,1191,354,116,350,189,846,1107,1125,840,680,157,71,86,136,160,549,688,622,535,461,486,349,458,849,857,19188,2.2%,19188,2.2%
Singapore,513,370,111,170,179,302,165,619,804,308,788,248,234,85,380,544,76,397,1115,1415,936,876,749,756,68,153,637,404,547,470,154,204,493,802,16073,1.8%,16073,1.8%
Qatar,5,17,63,10,9,10,200,237,302,61,3,,,,,,,27,,286,30,190,335,82,55,488,596,321,691,2438,963,2077,3384,1805,14684,1.7%,14684,1.7%
Kuwait,326,515,896,694,36,635,1189,478,46,197,227,67,23,43,2,12,5,288,5,9,85,113,31,73,692,325,159,114,96,55,67,924,2250,434,11113,1.3%,11113,1.3%
Indonesia,202,11,51,212,471,283,379,103,87,163,146,24,63,354,78,33,62,578,249,445,223,258,216,828,1196,437,353,1101,354,237,279,366,86,405,10333,1.2%,10333,1.2%
Canada,150,752,407,196,473,405,419,351,115,192,576,538,436,153,353,118,113,481,423,104,242,356,207,202,316,408,252,373,185,178,220,288,156,14,10149,1.2%,10149,1.2%
Iraq,818,,,,,,,,,,,,,,74,196,308,299,382,419,474,621,520,373,629,1489,1823,945,454,145,5,,55,6,10034,1.1%,10034,1.1%
Viet Nam,116,,,,,273,214,111,209,168,11,97,58,22,299,221,42,8,186,61,161,1016,782,360,1225,869,924,783,604,161,33,245,96,55,9408,1.1%,9408,1.1%
Italy,153,202,184,201,195,327,280,519,56,25,278,241,245,580,452,143,384,467,159,94,102,286,191,71,127,237,734,709,275,178,201,211,237,485,9227,1.1%,9227,1.1%
Norway,435,321,253,180,93,77,151,158,152,150,229,99,90,9,6,14,557,596,603,571,150,607,147,51,16,143,142,353,520,394,436,523,700,203,9129,1.0%,9129,1.0%
Thailand,235,572,426,183,610,530,734,937,76,172,80,116,152,131,120,115,99,8,16,63,60,251,276,377,105,183,342,321,631,291,143,150,251,279,9037,1.0%,9037,1.0%
Iran,447,991,403,956,450,288,607,171,373,320,424,534,441,289,123,59,424,332,63,98,96,93,41,14,14,14,413,3,3,3,2,,,21,8510,1.0%,8510,1.0%
Spain,699,109,207,299,853,355,424,211,86,361,320,144,271,249,300,358,312,343,347,228,272,166,219,155,108,152,104,82,149,35,71,135,198,186,8507,1.0%,8507,1.0%
Netherlands,273,322,237,140,205,82,203,126,269,278,123,164,247,128,130,86,304,217,140,256,181,119,198,505,8,59,76,36,140,494,575,510,733,402,7965,0.9%,7965,0.9%
Germany,710,688,679,529,417,222,244,60,543,129,113,133,71,63,237,199,406,46,278,331,307,84,131,113,95,96,55,43,14,38,101,240,288,204,7905,0.9%,7905,0.9%
Brazil,136,160,91,57,306,241,536,465,232,376,137,631,223,110,85,223,178,188,178,135,256,239,318,225,212,218,117,100,268,132,140,244,484,151,7792,0.9%,7792,0.9%
Poland,227,76,100,4,74,250,102,1,3,25,148,33,256,347,223,103,439,966,646,195,171,138,223,142,258,140,47,128,64,265,144,74,391,1374,7775,0.9%,7775,0.9%
Afghanistan,1690,1236,,,,,,,,,,,34,,,33,3,40,148,326,365,633,525,261,332,139,171,236,314,383,234,65,,,7169,0.8%,7169,0.8%
Chile,135,104,170,85,82,331,164,284,88,206,230,60,74,187,68,446,1093,655,391,329,474,326,61,55,135,135,40,49,74,33,295,57,207,9,7132,0.8%,7132,0.8%
Morocco,137,62,17,98,117,28,89,220,,60,127,11,155,12,14,101,47,27,46,39,309,1406,879,62,572,47,287,605,462,48,16,52,495,461,7103,0.8%,7103,0.8%
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,1,22,5,4,70,30,18,46,2789,4012,6998,0.8%,6998,0.8%
Malaysia,,33,13,13,308,828,32,553,39,721,26,26,153,190,69,58,184,498,493,1284,212,4,18,79,75,118,271,196,93,69,57,133,71,7,6925,0.8%,6925,0.8%
Finland,88,65,440,406,234,195,552,397,560,768,472,7,15,242,67,93,132,141,135,42,54,60,79,278,182,278,166,47,87,86,53,38,30,17,6505,0.7%,6505,0.7%
Venezuela,189,318,72,37,1,5,37,39,8,85,108,106,44,15,9,21,380,767,738,366,211,600,689,993,180,124,95,,14,,79,,,81,6410,0.7%,6410,0.7%
Myanmar,278,239,31,331,97,224,115,231,156,141,16,153,156,100,192,157,177,153,80,63,61,668,398,250,110,252,279,207,192,196,217,67,229,121,6336,0.7%,6336,0.7%
Bangladesh,188,79,113,49,61,123,7,26,1,184,200,274,37,8,32,10,221,80,12,,36,117,184,649,207,640,451,333,158,732,54,54,322,78,5719,0.7%,5719,0.7%
