Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
Africa,Regional total,1306,1416,626,585,898,523,578,733,813,1223,1165,1010,843,895,1060,1170,1507,1794,2518,1754,2271,3923,2807,1450,2238,1600,4048,2377,2473,876,1334,1000,1428,1442,51684,100%
,Albania,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0%
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0%
,Angola,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,0%
,Armenia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,0%
,Australia,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0%
,Austria,,,,,,,,3,,,15,,,,0,,,,1,1,1,2,2,,,,1,1,1,,,,1,2,29,0.1%
,Belarus,,,,8,,7,25,36,34,441,238,35,47,28,19,34,,4,51,14,15,,,66,8,62,42,17,19,41,36,34,36,,1396,2.7%
,Belgium,,,,,,,,,,,,,18,,,,,21,31,37,7,,,,,,,,,,,,,,115,0.2%
,Bosnia-Herzegovina,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,,10,0%
,Brazil,,,,,54,,,,18,,,,,,10,,,6,,11,,14,10,27,3,,,,18,,,54,,,224,0.4%
,Bulgaria,,,,28,,,,2,41,87,6,,25,20,19,68,,8,4,13,,,13,8,4,17,0,16,14,10,3,7,17,,430,0.8%
,Canada,33,2,,,4,8,25,53,2,,26,,,,,16,9,,,1,1,10,4,8,12,3,3,,2,5,1,8,7,9,251,0.5%
,Chile,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.1%
,China,45,144,24,,42,7,10,91,,19,70,29,48,150,38,60,221,50,73,84,479,191,296,385,405,363,680,288,195,93,121,183,103,306,5291,10%
,Costa Rica,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,0%
,Croatia,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Czechia,,,,,26,33,64,14,7,11,9,,35,36,,13,,13,,,,,,,3,28,,,1,,11,4,,,306,0.6%
,Czechoslovakia,1,78,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0.2%
,Denmark,36,,,,,,,,,3,,,,,,,,,,,,,,,5,5,,,,,,,,12,61,0.1%
,Egypt,9,,15,13,13,12,,,,,,,,,,,,,,,,,,,7,21,,,,8,,,,5,102,0.2%
,Eritrea,,,,,,,,,2,0,,,,,,,0,,,,,,,,,,,,,,,,,,2,0%
,Ethiopia,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0%
,European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0%
,Finland,,,,,8,3,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,14,0%
,France,70,57,42,20,40,39,86,84,,8,12,5,156,5,,32,33,30,14,56,77,775,84,21,570,28,120,82,101,106,105,100,162,143,3263,6.3%
,Georgia,,,,,,,,,,46,69,,,,5,,,,,,,,,,,,,,,,,,,,120,0.2%
,Germany,6,6,31,,2,5,13,6,6,,22,20,5,,1,393,550,781,253,5,,5,24,10,21,15,566,36,48,50,48,52,49,71,3098,6%
,Ghana,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19,0%
,Hungary,,,,3,,,,24,,,,,34,,,,,,,,,,,41,,,,,,,,,,,101,0.2%
,India,7,,,9,2,2,,,,,,,,,7,15,,,,,,1,,7,35,,33,19,10,15,,20,4,,184,0.4%
,Indonesia,,,,,,,,,,,,,,,,,,,,,,4,,,,,,9,,,,17,,,30,0.1%
,Iran,,,,,,,,,,,,,,9,,2,15,,3,,,,,,,,,,,,,,,,29,0.1%
,Israel,,0,202,239,202,,,4,4,7,6,7,18,12,20,37,4,1,10,15,2,48,16,21,4,10,28,9,0,11,25,20,5,142,1130,2.2%
,Italy,,20,11,2,13,,7,44,1,,21,8,,8,17,21,47,40,17,62,88,82,21,62,236,31,48,75,12,50,117,18,62,20,1257,2.4%
,Jordan,,,,,,,,,,,,,,,,,,0,,,83,,21,9,,,,9,1,2,,,,9,134,0.3%
,Kazakhstan,,,,,,,,,2,10,16,,,,,,,,,,,,,,,,,,,,,,,,27,0.1%
,Kenya,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Kyrgyzstan,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Libya,16,,,,3,,,3,10,,,,21,16,,,,,3,,,0,,,,,,,,,,,,,73,0.1%
,Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,1,0%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,60,0.1%
,Luxembourg,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0%
